question,ideal_answer,student_answer,label,subject,keywords
Define normalization,Normalization is the process of organizing database tables to minimize redundancy and dependency anomalies.,Normalization is the process of organizing database t...,0.6,DBMS,"redundancy, minimize, data integrity, decompose, anomalies"
Define normalization,Normalization is the process of organizing database tables to minimize redundancy and dependency anomalies.,I don't understand the dbms concept of define.,0.2,DBMS,"redundancy, minimize, data integrity, decompose, anomalies"
What is 1NF?,First Normal Form (1NF) requires that all column values be atomic (indivisible) with no repeating groups.,First Normal Form (1NF) requires that all column values be atomic (indivisible) with no repeating groups.,1.0,DBMS,"atomic, values, indivisible, repeating groups, first normal form"
What is 1NF?,First Normal Form (1NF) requires that all column values be atomic (indivisible) with no repeating groups.,First Normal Form (1NF) requires that all column val...,0.6,DBMS,"atomic, values, indivisible, repeating groups, first normal form"
What is 1NF?,First Normal Form (1NF) requires that all column values be atomic (indivisible) with no repeating groups.,I don't understand the dbms concept of what.,0.2,DBMS,"atomic, values, indivisible, repeating groups, first normal form"
Explain 2NF,Second Normal Form (2NF) requires 1NF compliance and that all non-key attributes depend on the entire primary key.,Second Normal Form (2NF) requires 1NF compliance and that all non-key attributes depend on the entire primary key.,1.0,DBMS,"functional dependency, full dependency, composite key, partial, second normal form"
Explain 2NF,Second Normal Form (2NF) requires 1NF compliance and that all non-key attributes depend on the entire primary key.,Second Normal Form (2NF) requires 1NF compliance and that...,0.6,DBMS,"functional dependency, full dependency, composite key, partial, second normal form"
Explain 2NF,Second Normal Form (2NF) requires 1NF compliance and that all non-key attributes depend on the entire primary key.,I don't understand the dbms concept of explain.,0.2,DBMS,"functional dependency, full dependency, composite key, partial, second normal form"
What is 3NF?,Third Normal Form (3NF) requires 2NF compliance and elimination of transitive dependencies.,Third Normal Form (3NF) requires 2NF compliance and elimination of transitive dependencies.,1.0,DBMS,"transitive, non-prime attribute, dependency, third normal form, candidate key"
What is 3NF?,Third Normal Form (3NF) requires 2NF compliance and elimination of transitive dependencies.,Third Normal Form (3NF) requires 2NF complian...,0.6,DBMS,"transitive, non-prime attribute, dependency, third normal form, candidate key"
What is 3NF?,Third Normal Form (3NF) requires 2NF compliance and elimination of transitive dependencies.,I don't understand the dbms concept of what.,0.2,DBMS,"transitive, non-prime attribute, dependency, third normal form, candidate key"
Define ACID,"ACID (Atomicity, Consistency, Isolation, Durability) are properties ensuring reliable database transactions.","ACID (Atomicity, Consistency, Isolation, Durability) are properties ensuring reliable database transactions.",1.0,DBMS,"atomicity, consistency, isolation, durability, transaction, reliability"
Define ACID,"ACID (Atomicity, Consistency, Isolation, Durability) are properties ensuring reliable database transactions.","ACID (Atomicity, Consistency, Isolation, Durability) a...",0.6,DBMS,"atomicity, consistency, isolation, durability, transaction, reliability"
Define ACID,"ACID (Atomicity, Consistency, Isolation, Durability) are properties ensuring reliable database transactions.",I don't understand the dbms concept of define.,0.2,DBMS,"atomicity, consistency, isolation, durability, transaction, reliability"
What is Atomicity?,Atomicity ensures that transactions are all-or-nothing: either all operations complete or none occur.,Atomicity ensures that transactions are all-or-nothing: either all operations complete or none occur.,1.0,DBMS,"all-or-nothing, transaction, complete, fail, execute"
What is Atomicity?,Atomicity ensures that transactions are all-or-nothing: either all operations complete or none occur.,Atomicity ensures that transactions are all-or-not...,0.6,DBMS,"all-or-nothing, transaction, complete, fail, execute"
What is Atomicity?,Atomicity ensures that transactions are all-or-nothing: either all operations complete or none occur.,I don't understand the dbms concept of what.,0.2,DBMS,"all-or-nothing, transaction, complete, fail, execute"
Explain Consistency,"Consistency ensures that database transitions from one valid state to another, maintaining integrity constraints.","Consistency ensures that database transitions from one valid state to another, maintaining integrity constraints.",1.0,DBMS,"valid state, integrity, rules, constraints, database"
Explain Consistency,"Consistency ensures that database transitions from one valid state to another, maintaining integrity constraints.",Consistency ensures that database transitions from one v...,0.6,DBMS,"valid state, integrity, rules, constraints, database"
Explain Consistency,"Consistency ensures that database transitions from one valid state to another, maintaining integrity constraints.",I don't understand the dbms concept of explain.,0.2,DBMS,"valid state, integrity, rules, constraints, database"
Define Isolation,"Isolation ensures concurrent transactions do not interfere with each other, preventing dirty reads and anomalies.","Isolation ensures concurrent transactions do not interfere with each other, preventing dirty reads and anomalies.",1.0,DBMS,"concurrent, interference, independent, transactions, visibility"
Define Isolation,"Isolation ensures concurrent transactions do not interfere with each other, preventing dirty reads and anomalies.",Isolation ensures concurrent transactions do not interfe...,0.6,DBMS,"concurrent, interference, independent, transactions, visibility"
Define Isolation,"Isolation ensures concurrent transactions do not interfere with each other, preventing dirty reads and anomalies.",I don't understand the dbms concept of define.,0.2,DBMS,"concurrent, interference, independent, transactions, visibility"
What is Durability?,"Durability ensures that committed transactions persist permanently, even after system failures.","Durability ensures that committed transactions persist permanently, even after system failures.",1.0,DBMS,"permanent, committed, failure, persist, recovery"
What is Durability?,"Durability ensures that committed transactions persist permanently, even after system failures.",Durability ensures that committed transactions ...,0.6,DBMS,"permanent, committed, failure, persist, recovery"
What is Durability?,"Durability ensures that committed transactions persist permanently, even after system failures.",I don't understand the dbms concept of what.,0.2,DBMS,"permanent, committed, failure, persist, recovery"
Explain JOIN operation,"JOIN combines rows from multiple tables based on related columns, merging data from different sources.","JOIN combines rows from multiple tables based on related columns, merging data from different sources.",1.0,DBMS,"combine, tables, rows, related, columns, merge"
Explain JOIN operation,"JOIN combines rows from multiple tables based on related columns, merging data from different sources.",JOIN combines rows from multiple tables based on re...,0.6,DBMS,"combine, tables, rows, related, columns, merge"
Explain JOIN operation,"JOIN combines rows from multiple tables based on related columns, merging data from different sources.",I don't understand the dbms concept of explain.,0.2,DBMS,"combine, tables, rows, related, columns, merge"
What is INNER JOIN?,INNER JOIN returns only rows with matching values in both tables based on the join condition.,INNER JOIN returns only rows with matching values in both tables based on the join condition.,1.0,DBMS,"matching, common, intersection, both tables, condition"
What is INNER JOIN?,INNER JOIN returns only rows with matching values in both tables based on the join condition.,INNER JOIN returns only rows with matching val...,0.6,DBMS,"matching, common, intersection, both tables, condition"
What is INNER JOIN?,INNER JOIN returns only rows with matching values in both tables based on the join condition.,I don't understand the dbms concept of what.,0.2,DBMS,"matching, common, intersection, both tables, condition"
Define LEFT JOIN,LEFT JOIN returns all rows from the left table plus matching rows from the right table.,LEFT JOIN returns all rows from the left table plus matching rows from the right table.,1.0,DBMS,"left table, all rows, matches, right table, outer"
Define LEFT JOIN,LEFT JOIN returns all rows from the left table plus matching rows from the right table.,LEFT JOIN returns all rows from the left ta...,0.6,DBMS,"left table, all rows, matches, right table, outer"
Define LEFT JOIN,LEFT JOIN returns all rows from the left table plus matching rows from the right table.,I don't understand the dbms concept of define.,0.2,DBMS,"left table, all rows, matches, right table, outer"
What is RIGHT JOIN?,RIGHT JOIN returns all rows from the right table plus matching rows from the left table.,RIGHT JOIN returns all rows from the right table plus matching rows from the left table.,1.0,DBMS,"right table, all rows, matches, left table, outer"
What is RIGHT JOIN?,RIGHT JOIN returns all rows from the right table plus matching rows from the left table.,RIGHT JOIN returns all rows from the right t...,0.6,DBMS,"right table, all rows, matches, left table, outer"
What is RIGHT JOIN?,RIGHT JOIN returns all rows from the right table plus matching rows from the left table.,I don't understand the dbms concept of what.,0.2,DBMS,"right table, all rows, matches, left table, outer"
Explain FULL JOIN,"FULL JOIN returns all rows from both tables, combining left and right joins.","FULL JOIN returns all rows from both tables, combining left and right joins.",1.0,DBMS,"both tables, all rows, union, outer join, complete"
Explain FULL JOIN,"FULL JOIN returns all rows from both tables, combining left and right joins.",FULL JOIN returns all rows from both t...,0.6,DBMS,"both tables, all rows, union, outer join, complete"
Explain FULL JOIN,"FULL JOIN returns all rows from both tables, combining left and right joins.",I don't understand the dbms concept of explain.,0.2,DBMS,"both tables, all rows, union, outer join, complete"
What is subquery?,A subquery is a nested query within another SQL statement used for filtering or intermediate results.,A subquery is a nested query within another SQL statement used for filtering or intermediate results.,1.0,DBMS,"nested, query, inner, filter, intermediate"
What is subquery?,A subquery is a nested query within another SQL statement used for filtering or intermediate results.,A subquery is a nested query within another SQL st...,0.6,DBMS,"nested, query, inner, filter, intermediate"
What is subquery?,A subquery is a nested query within another SQL statement used for filtering or intermediate results.,I don't understand the dbms concept of what.,0.2,DBMS,"nested, query, inner, filter, intermediate"
Define view,"A view is a virtual table derived from one or more tables, containing a stored query result.","A view is a virtual table derived from one or more tables, containing a stored query result.",1.0,DBMS,"virtual, table, query, result set, named"
Define view,"A view is a virtual table derived from one or more tables, containing a stored query result.",A view is a virtual table derived from one or ...,0.6,DBMS,"virtual, table, query, result set, named"
Define view,"A view is a virtual table derived from one or more tables, containing a stored query result.",I don't understand the dbms concept of define.,0.2,DBMS,"virtual, table, query, result set, named"
What is index?,An index is a database structure that accelerates data retrieval by organizing table data for faster lookups.,An index is a database structure that accelerates data retrieval by organizing table data for faster lookups.,1.0,DBMS,"speed, retrieval, lookup, acceleration, search, structure"
What is index?,An index is a database structure that accelerates data retrieval by organizing table data for faster lookups.,An index is a database structure that accelerates data...,0.6,DBMS,"speed, retrieval, lookup, acceleration, search, structure"
What is index?,An index is a database structure that accelerates data retrieval by organizing table data for faster lookups.,I don't understand the dbms concept of what.,0.2,DBMS,"speed, retrieval, lookup, acceleration, search, structure"
Explain clustered index,"A clustered index determines the physical order of table rows, with one per table.","A clustered index determines the physical order of table rows, with one per table.",1.0,DBMS,"physical order, primary, sort, storage, table organization"
Explain clustered index,"A clustered index determines the physical order of table rows, with one per table.",A clustered index determines the physical...,0.6,DBMS,"physical order, primary, sort, storage, table organization"
Explain clustered index,"A clustered index determines the physical order of table rows, with one per table.",I don't understand the dbms concept of explain.,0.2,DBMS,"physical order, primary, sort, storage, table organization"
What is non-clustered index?,"A non-clustered index creates a separate structure pointing to rows, allowing multiple per table.","A non-clustered index creates a separate structure pointing to rows, allowing multiple per table.",1.0,DBMS,"separate, additional, secondary, lookup, pointers"
What is non-clustered index?,"A non-clustered index creates a separate structure pointing to rows, allowing multiple per table.",A non-clustered index creates a separate structu...,0.6,DBMS,"separate, additional, secondary, lookup, pointers"
What is non-clustered index?,"A non-clustered index creates a separate structure pointing to rows, allowing multiple per table.",I don't understand the dbms concept of what.,0.2,DBMS,"separate, additional, secondary, lookup, pointers"
Define trigger,"A trigger is an automatic action that executes in response to specific database events (insert, update, delete).","A trigger is an automatic action that executes in response to specific database events (insert, update, delete).",1.0,DBMS,"automatic, execution, event, insert, update, delete"
Define trigger,"A trigger is an automatic action that executes in response to specific database events (insert, update, delete).",A trigger is an automatic action that executes in respon...,0.6,DBMS,"automatic, execution, event, insert, update, delete"
Define trigger,"A trigger is an automatic action that executes in response to specific database events (insert, update, delete).",I don't understand the dbms concept of define.,0.2,DBMS,"automatic, execution, event, insert, update, delete"
What is stored procedure?,A stored procedure is a precompiled SQL program stored in the database for reusable operations.,A stored procedure is a precompiled SQL program stored in the database for reusable operations.,1.0,DBMS,"precompiled, SQL, reusable, database, stored, program"
What is stored procedure?,A stored procedure is a precompiled SQL program stored in the database for reusable operations.,A stored procedure is a precompiled SQL program...,0.6,DBMS,"precompiled, SQL, reusable, database, stored, program"
What is stored procedure?,A stored procedure is a precompiled SQL program stored in the database for reusable operations.,I don't understand the dbms concept of what.,0.2,DBMS,"precompiled, SQL, reusable, database, stored, program"
Explain transaction,A transaction is a logical unit of work comprising multiple operations that execute as an atomic unit.,A transaction is a logical unit of work comprising multiple operations that execute as an atomic unit.,1.0,DBMS,"logical unit, work, operations, all-or-nothing, database change"
Explain transaction,A transaction is a logical unit of work comprising multiple operations that execute as an atomic unit.,A transaction is a logical unit of work comprising ...,0.6,DBMS,"logical unit, work, operations, all-or-nothing, database change"
Explain transaction,A transaction is a logical unit of work comprising multiple operations that execute as an atomic unit.,I don't understand the dbms concept of explain.,0.2,DBMS,"logical unit, work, operations, all-or-nothing, database change"
What is SQL?,SQL (Structured Query Language) is a standard language for querying and managing relational databases.,SQL (Structured Query Language) is a standard language for querying and managing relational databases.,1.0,DBMS,"query language, database, structured, standard, relational"
What is SQL?,SQL (Structured Query Language) is a standard language for querying and managing relational databases.,SQL (Structured Query Language) is a standard langu...,0.6,DBMS,"query language, database, structured, standard, relational"
What is SQL?,SQL (Structured Query Language) is a standard language for querying and managing relational databases.,I don't understand the dbms concept of what.,0.2,DBMS,"query language, database, structured, standard, relational"
Define SELECT statement,SELECT retrieves specific columns and rows from one or more tables based on criteria.,SELECT retrieves specific columns and rows from one or more tables based on criteria.,1.0,DBMS,"retrieve, columns, tables, data, query, fetch"
Define SELECT statement,SELECT retrieves specific columns and rows from one or more tables based on criteria.,SELECT retrieves specific columns and rows...,0.6,DBMS,"retrieve, columns, tables, data, query, fetch"
Define SELECT statement,SELECT retrieves specific columns and rows from one or more tables based on criteria.,I don't understand the dbms concept of define.,0.2,DBMS,"retrieve, columns, tables, data, query, fetch"
What is WHERE clause?,WHERE clause filters records by specifying conditions that rows must satisfy.,WHERE clause filters records by specifying conditions that rows must satisfy.,1.0,DBMS,"filter, conditions, records, restrict, criteria"
What is WHERE clause?,WHERE clause filters records by specifying conditions that rows must satisfy.,WHERE clause filters records by specif...,0.6,DBMS,"filter, conditions, records, restrict, criteria"
What is WHERE clause?,WHERE clause filters records by specifying conditions that rows must satisfy.,I don't understand the dbms concept of what.,0.2,DBMS,"filter, conditions, records, restrict, criteria"
Explain GROUP BY,GROUP BY aggregates data by grouping rows with identical values in specified columns.,GROUP BY aggregates data by grouping rows with identical values in specified columns.,1.0,DBMS,"aggregate, grouping, functions, summarize, combine"
Explain GROUP BY,GROUP BY aggregates data by grouping rows with identical values in specified columns.,GROUP BY aggregates data by grouping rows ...,0.6,DBMS,"aggregate, grouping, functions, summarize, combine"
Explain GROUP BY,GROUP BY aggregates data by grouping rows with identical values in specified columns.,I don't understand the dbms concept of explain.,0.2,DBMS,"aggregate, grouping, functions, summarize, combine"
What is ORDER BY?,ORDER BY sorts query results in ascending or descending order by specified columns.,ORDER BY sorts query results in ascending or descending order by specified columns.,1.0,DBMS,"sort, ascending, descending, arrange, sequence"
What is ORDER BY?,ORDER BY sorts query results in ascending or descending order by specified columns.,ORDER BY sorts query results in ascending...,0.6,DBMS,"sort, ascending, descending, arrange, sequence"
What is ORDER BY?,ORDER BY sorts query results in ascending or descending order by specified columns.,I don't understand the dbms concept of what.,0.2,DBMS,"sort, ascending, descending, arrange, sequence"
Define DISTINCT,"DISTINCT removes duplicate rows from query results, returning unique values only.","DISTINCT removes duplicate rows from query results, returning unique values only.",1.0,DBMS,"unique, remove, duplicates, values, eliminate"
Define DISTINCT,"DISTINCT removes duplicate rows from query results, returning unique values only.",DISTINCT removes duplicate rows from que...,0.6,DBMS,"unique, remove, duplicates, values, eliminate"
Define DISTINCT,"DISTINCT removes duplicate rows from query results, returning unique values only.",I don't understand the dbms concept of define.,0.2,DBMS,"unique, remove, duplicates, values, eliminate"
What is UNION?,"UNION combines result sets from multiple queries, removing duplicates.","UNION combines result sets from multiple queries, removing duplicates.",1.0,DBMS,"combine, result sets, merge, queries, remove duplicates"
What is UNION?,"UNION combines result sets from multiple queries, removing duplicates.",UNION combines result sets from mul...,0.6,DBMS,"combine, result sets, merge, queries, remove duplicates"
What is UNION?,"UNION combines result sets from multiple queries, removing duplicates.",I don't understand the dbms concept of what.,0.2,DBMS,"combine, result sets, merge, queries, remove duplicates"
Explain CROSS JOIN,CROSS JOIN produces a Cartesian product of all row combinations from two tables.,CROSS JOIN produces a Cartesian product of all row combinations from two tables.,1.0,DBMS,"Cartesian, product, all combinations, multiply, rows"
Explain CROSS JOIN,CROSS JOIN produces a Cartesian product of all row combinations from two tables.,CROSS JOIN produces a Cartesian product ...,0.6,DBMS,"Cartesian, product, all combinations, multiply, rows"
Explain CROSS JOIN,CROSS JOIN produces a Cartesian product of all row combinations from two tables.,I don't understand the dbms concept of explain.,0.2,DBMS,"Cartesian, product, all combinations, multiply, rows"
What is GROUP BY with aggregate?,"GROUP BY with aggregate functions like COUNT, SUM, AVG groups and summarizes data.","GROUP BY with aggregate functions like COUNT, SUM, AVG groups and summarizes data.",1.0,DBMS,"count, sum, average, max, min, grouping"
What is GROUP BY with aggregate?,"GROUP BY with aggregate functions like COUNT, SUM, AVG groups and summarizes data.",GROUP BY with aggregate functions like CO...,0.6,DBMS,"count, sum, average, max, min, grouping"
What is GROUP BY with aggregate?,"GROUP BY with aggregate functions like COUNT, SUM, AVG groups and summarizes data.",I don't understand the dbms concept of what.,0.2,DBMS,"count, sum, average, max, min, grouping"
Define UPDATE statement,UPDATE modifies existing records in a table based on specified conditions.,UPDATE modifies existing records in a table based on specified conditions.,1.0,DBMS,"modify, change, records, existing, alter"
Define UPDATE statement,UPDATE modifies existing records in a table based on specified conditions.,UPDATE modifies existing records in a...,0.6,DBMS,"modify, change, records, existing, alter"
Define UPDATE statement,UPDATE modifies existing records in a table based on specified conditions.,I don't understand the dbms concept of define.,0.2,DBMS,"modify, change, records, existing, alter"
What is DELETE statement?,DELETE removes records from a table based on specified conditions.,DELETE removes records from a table based on specified conditions.,1.0,DBMS,"remove, records, eliminate, drop, rows"
What is DELETE statement?,DELETE removes records from a table based on specified conditions.,DELETE removes records from a tab...,0.6,DBMS,"remove, records, eliminate, drop, rows"
What is DELETE statement?,DELETE removes records from a table based on specified conditions.,I don't understand the dbms concept of what.,0.2,DBMS,"remove, records, eliminate, drop, rows"
Explain INSERT statement,INSERT adds new records with specified column values into a table.,INSERT adds new records with specified column values into a table.,1.0,DBMS,"add, new, records, create, data"
Explain INSERT statement,INSERT adds new records with specified column values into a table.,INSERT adds new records with spec...,0.6,DBMS,"add, new, records, create, data"
Explain INSERT statement,INSERT adds new records with specified column values into a table.,I don't understand the dbms concept of explain.,0.2,DBMS,"add, new, records, create, data"
What is CREATE TABLE?,"CREATE TABLE defines a new table structure with columns, data types, and constraints.","CREATE TABLE defines a new table structure with columns, data types, and constraints.",1.0,DBMS,"define, structure, columns, schema, table"
What is CREATE TABLE?,"CREATE TABLE defines a new table structure with columns, data types, and constraints.",CREATE TABLE defines a new table structure...,0.6,DBMS,"define, structure, columns, schema, table"
What is CREATE TABLE?,"CREATE TABLE defines a new table structure with columns, data types, and constraints.",I don't understand the dbms concept of what.,0.2,DBMS,"define, structure, columns, schema, table"
Define ALTER TABLE,"ALTER TABLE modifies existing table structure (columns, constraints, properties).","ALTER TABLE modifies existing table structure (columns, constraints, properties).",1.0,DBMS,"modify, change, structure, schema, column"
Define ALTER TABLE,"ALTER TABLE modifies existing table structure (columns, constraints, properties).",ALTER TABLE modifies existing table stru...,0.6,DBMS,"modify, change, structure, schema, column"
Define ALTER TABLE,"ALTER TABLE modifies existing table structure (columns, constraints, properties).",I don't understand the dbms concept of define.,0.2,DBMS,"modify, change, structure, schema, column"
What is CASCADE delete?,CASCADE delete automatically deletes child records when parent record is deleted.,CASCADE delete automatically deletes child records when parent record is deleted.,1.0,DBMS,"referential integrity, delete, cascade, child records, constraint"
What is CASCADE delete?,CASCADE delete automatically deletes child records when parent record is deleted.,CASCADE delete automatically deletes chi...,0.6,DBMS,"referential integrity, delete, cascade, child records, constraint"
What is CASCADE delete?,CASCADE delete automatically deletes child records when parent record is deleted.,I don't understand the dbms concept of what.,0.2,DBMS,"referential integrity, delete, cascade, child records, constraint"
Explain data type,"Data types classify the kind of value (VARCHAR, INT, DATE) that can be stored in columns.","Data types classify the kind of value (VARCHAR, INT, DATE) that can be stored in columns.",1.0,DBMS,"VARCHAR, INT, DATE, FLOAT, classification"
Explain data type,"Data types classify the kind of value (VARCHAR, INT, DATE) that can be stored in columns.",Data types classify the kind of value (VARCH...,0.6,DBMS,"VARCHAR, INT, DATE, FLOAT, classification"
Explain data type,"Data types classify the kind of value (VARCHAR, INT, DATE) that can be stored in columns.",I don't understand the dbms concept of explain.,0.2,DBMS,"VARCHAR, INT, DATE, FLOAT, classification"
What is NULL?,"NULL represents missing or undefined values, distinct from zero or empty strings.","NULL represents missing or undefined values, distinct from zero or empty strings.",1.0,DBMS,"missing, undefined, unknown, value, empty"
What is NULL?,"NULL represents missing or undefined values, distinct from zero or empty strings.",NULL represents missing or undefined val...,0.6,DBMS,"missing, undefined, unknown, value, empty"
What is NULL?,"NULL represents missing or undefined values, distinct from zero or empty strings.",I don't understand the dbms concept of what.,0.2,DBMS,"missing, undefined, unknown, value, empty"
Define constraint,A constraint is a rule enforcing data validity and integrity conditions on columns.,A constraint is a rule enforcing data validity and integrity conditions on columns.,1.0,DBMS,"rule, enforce, validity, data, condition"
Define constraint,A constraint is a rule enforcing data validity and integrity conditions on columns.,A constraint is a rule enforcing data val...,0.6,DBMS,"rule, enforce, validity, data, condition"
Define constraint,A constraint is a rule enforcing data validity and integrity conditions on columns.,I don't understand the dbms concept of define.,0.2,DBMS,"rule, enforce, validity, data, condition"
What is UNIQUE constraint?,UNIQUE constraint prevents duplicate values in specified columns.,UNIQUE constraint prevents duplicate values in specified columns.,1.0,DBMS,"duplicate, distinct, prevent, values, unique"
What is UNIQUE constraint?,UNIQUE constraint prevents duplicate values in specified columns.,UNIQUE constraint prevents dupli...,0.6,DBMS,"duplicate, distinct, prevent, values, unique"
What is UNIQUE constraint?,UNIQUE constraint prevents duplicate values in specified columns.,I don't understand the dbms concept of what.,0.2,DBMS,"duplicate, distinct, prevent, values, unique"
Explain database indexing in detail,"Indexing creates specialized structures (B-tree, hash) for efficient record lookups and query performance.","Indexing creates specialized structures (B-tree, hash) for efficient record lookups and query performance.",1.0,DBMS,"index, lookup, performance, search, B-tree, hash index"
Explain database indexing in detail,"Indexing creates specialized structures (B-tree, hash) for efficient record lookups and query performance.","Indexing creates specialized structures (B-tree, hash...",0.6,DBMS,"index, lookup, performance, search, B-tree, hash index"
Explain database indexing in detail,"Indexing creates specialized structures (B-tree, hash) for efficient record lookups and query performance.",I don't understand the dbms concept of explain.,0.2,DBMS,"index, lookup, performance, search, B-tree, hash index"
What is query optimization?,Query optimization improves execution efficiency by analyzing and choosing optimal query plans.,Query optimization improves execution efficiency by analyzing and choosing optimal query plans.,1.0,DBMS,"execution, strategy, cost, efficient, plan, performance"
What is query optimization?,Query optimization improves execution efficiency by analyzing and choosing optimal query plans.,Query optimization improves execution efficienc...,0.6,DBMS,"execution, strategy, cost, efficient, plan, performance"
What is query optimization?,Query optimization improves execution efficiency by analyzing and choosing optimal query plans.,I don't understand the dbms concept of what.,0.2,DBMS,"execution, strategy, cost, efficient, plan, performance"
Define transaction management,Transaction management ensures ACID properties for reliable database operations.,Transaction management ensures ACID properties for reliable database operations.,1.0,DBMS,"ACID, atomicity, consistency, isolation, durability, reliable"
Define transaction management,Transaction management ensures ACID properties for reliable database operations.,Transaction management ensures ACID prop...,0.6,DBMS,"ACID, atomicity, consistency, isolation, durability, reliable"
Define transaction management,Transaction management ensures ACID properties for reliable database operations.,I don't understand the dbms concept of define.,0.2,DBMS,"ACID, atomicity, consistency, isolation, durability, reliable"
Explain data warehousing,Data warehousing aggregates historical data from multiple sources for business intelligence and analytics.,Data warehousing aggregates historical data from multiple sources for business intelligence and analytics.,1.0,DBMS,"analytics, historical data, OLAP, data marts, business intelligence"
Explain data warehousing,Data warehousing aggregates historical data from multiple sources for business intelligence and analytics.,Data warehousing aggregates historical data from mult...,0.6,DBMS,"analytics, historical data, OLAP, data marts, business intelligence"
Explain data warehousing,Data warehousing aggregates historical data from multiple sources for business intelligence and analytics.,I don't understand the dbms concept of explain.,0.2,DBMS,"analytics, historical data, OLAP, data marts, business intelligence"
What is replication?,Replication copies database data across multiple servers for redundancy and consistency.,Replication copies database data across multiple servers for redundancy and consistency.,1.0,DBMS,"copy, multiple servers, redundancy, synchronization, consistency"
What is replication?,Replication copies database data across multiple servers for redundancy and consistency.,Replication copies database data across mult...,0.6,DBMS,"copy, multiple servers, redundancy, synchronization, consistency"
What is replication?,Replication copies database data across multiple servers for redundancy and consistency.,I don't understand the dbms concept of what.,0.2,DBMS,"copy, multiple servers, redundancy, synchronization, consistency"
Define sharding,Sharding horizontally partitions data across multiple database instances for scalability.,Sharding horizontally partitions data across multiple database instances for scalability.,1.0,DBMS,"horizontal partitioning, distribution, scalability, database, partitions"
Define sharding,Sharding horizontally partitions data across multiple database instances for scalability.,Sharding horizontally partitions data across...,0.6,DBMS,"horizontal partitioning, distribution, scalability, database, partitions"
Define sharding,Sharding horizontally partitions data across multiple database instances for scalability.,I don't understand the dbms concept of define.,0.2,DBMS,"horizontal partitioning, distribution, scalability, database, partitions"
Explain backup and recovery,Backup and recovery protect against data loss through archiving and restoration mechanisms.,Backup and recovery protect against data loss through archiving and restoration mechanisms.,1.0,DBMS,"data protection, restore, failure, consistency, archive"
Explain backup and recovery,Backup and recovery protect against data loss through archiving and restoration mechanisms.,Backup and recovery protect against data loss...,0.6,DBMS,"data protection, restore, failure, consistency, archive"
Explain backup and recovery,Backup and recovery protect against data loss through archiving and restoration mechanisms.,I don't understand the dbms concept of explain.,0.2,DBMS,"data protection, restore, failure, consistency, archive"
What is consistency hashing?,Consistency hashing distributes data across nodes minimizing rearrangement during scaling.,Consistency hashing distributes data across nodes minimizing rearrangement during scaling.,1.0,DBMS,"distributed, hashing, minimal rearrangement, scalable, nodes"
